ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
1.0	0	3	0	NR4A1	0.0014652	nuclear receptor subfamily 4 group A member 1	2012	2012	0	1	0.65	12		0.44	0.92	0
0.8571428571428571	0	8	0	PTPN22		protein tyrosine phosphatase non-receptor type 22			0	0	0.65	46		0.45	0.83	0
0.8333333333333334	0	41	0	HLA-DRB1		major histocompatibility complex, class II, DR beta 1			0	0	0.65	154		0.36	0.88	0
0.75	0	2	0	TNFRSF1B	0.10032	TNF receptor superfamily member 1B			0	0	0.65	31		0.41	0.88	0
1.0	0	5	0	AKR1C3	8.7918E-11	aldo-keto reductase family 1 member C3	2011	2015	0	2	0.6	17		0.53	0.75	0
0.8333333333333334	0	0	0	HSD17B2	7.8467E-14	hydroxysteroid 17-beta dehydrogenase 2	2009	2011	0	2	0.6	2		0.66	0.58	0
1.0	1	29	0	CD226	3.2952E-5	CD226 molecule	2011	2011	0	1	0.6	4		0.52	0.83	0
1.0	0	3	0	AKR1C1	3.2841E-10	aldo-keto reductase family 1 member C1	2011	2011	0	1	0.6	7		0.56	0.83	0
1.0	0	4	0	MYLIP	6.0685E-5	myosin regulatory light chain interacting protein	2011	2011	0	1	0.6	1		0.45	0.88	0
1.0	0	0	0	HDAC1	0.94922	histone deacetylase 1	2012	2012	0	1	0.6	10		0.42	0.88	0
1.0	0	1	0	HDAC2	0.98923	histone deacetylase 2	2012	2012	0	1	0.6	22		0.46	0.92	0
0.6666666666666666	0	41	0	HLA-DPB1	3.3596E-11	major histocompatibility complex, class II, DP beta 1	2008	2008	0	1	0.6	42		0.44	0.88	0
1.0	0	0	0	CXCL9	0.020244	C-X-C motif chemokine ligand 9	2019	2019	0	1	0.6	15		0.42	0.92	0
1.0	0	128	0	NR3C2	1.0	nuclear receptor subfamily 3 group C member 2	2012	2012	0	1	0.6	19		0.46	0.92	0
0.75	0	0	0	PLA2G2A		phospholipase A2 group IIA	2015	2015	0	1	0.6	12		0.5	0.83	0
0.75	0	5	0	LTF	4.0137E-31	lactotransferrin	2011	2011	0	1	0.6	24		0.43	0.88	0
1.0	0	37	0	NR2F2	1.0	nuclear receptor subfamily 2 group F member 2	2012	2012	0	1	0.6	13		0.5	0.88	0
1.0	0	8	0	OLFM4	6.64E-9	olfactomedin 4	2010	2010	0	1	0.6	1		0.53	0.79	0
